longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,location_name
-121.84,39.72,52,1457,389,802,342,0.9566,69000,INLAND,"1041 Cherry St, Chico, CA 95928, USA"
-122.17,37.75,48,1751,390,935,349,1.4375,90000,NEAR BAY,"9222 Plymouth St, Oakland, CA 94603, USA"
-118.37,34.16,25,2450,618,1054,578,3.6375,262500,<1H OCEAN,"10995 Huston St, Los Angeles, CA 91601, USA"
-118.38,34.14,40,1965,354,666,357,6.0876,483800,<1H OCEAN,"11429 Ventura Blvd, Studio City, CA 91604, USA"
-120.83,37.51,34,3078,477,1226,487,4.601,150000,INLAND,"1909 Redhawk Cir, Turlock, CA 95382, USA"
-121.5,38.5,29,2049,330,787,309,3.7414,98500,INLAND,"GG22+22 Sacramento, CA, USA"
-117.31,34.1,28,2899,755,2406,655,1.5208,69500,INLAND,"138 S L St, San Bernardino, CA 92410, USA"
-121.83,37.2,6,3694,574,1554,527,6.8333,348000,<1H OCEAN,"1039 Kiser Dr, San Jose, CA 95120, USA"
-121.89,37.25,21,2080,352,1040,325,5.2887,264500,<1H OCEAN,"1403 Merrywood Dr, San Jose, CA 95118, USA"
-118.2,34.02,42,498,120,548,119,3.7543,126600,<1H OCEAN,"3573 E 8th St, Los Angeles, CA 90023, USA"
-117.13,34.17,17,1181,271,248,114,5.5762,150000,INLAND,"5VCC+22 Running Springs, CA, USA"
-119.76,36.75,39,2233,563,2031,491,1.8641,50800,INLAND,"3827 E Madison Ave, Fresno, CA 93702, USA"
-120.19,39.35,7,2611,395,482,159,5.0622,174100,INLAND,"11402 Alder Hill Rd, Truckee, CA 96161, USA"
-124.11,40.93,17,1661,329,948,357,2.7639,90200,NEAR OCEAN,"1450 Greenacres Rd, McKinleyville, CA 95519, USA"
-119.05,35.36,16,4507,1049,2261,959,3.3261,118400,INLAND,"4108 La Mirada Dr, Bakersfield, CA 93309, USA"
-122.44,37.72,48,2675,585,1773,540,3.9565,268500,NEAR BAY,"2000 Alemany Blvd, San Francisco, CA 94112, USA"
-118.48,34.03,19,902,284,414,272,1.3333,310000,<1H OCEAN,"2021 Santa Monica Blvd #325e, Santa Monica, CA 90404, USA"
-117.96,33.83,34,982,148,498,156,6.3214,220800,<1H OCEAN,"233 S Brookhurst St, Anaheim, CA 92804, USA"
-118.4,34.19,35,2180,599,1483,574,3.0395,191300,<1H OCEAN,"6550 St Clair Ave, North Hollywood, CA 91606, USA"
-121.38,38.41,10,3425,629,1538,587,4.45,138700,INLAND,"8709 Elk Grove Blvd, Elk Grove, CA 95624, USA"
-118.3,33.99,47,2212,533,1903,554,1.9853,101100,<1H OCEAN,"1359 W 58th St, Los Angeles, CA 90037, USA"
-120.44,34.96,30,1685,315,1290,368,3.4722,112500,<1H OCEAN,"708 N Thornburg St, Santa Maria, CA 93458, USA"
-121.9,37.25,28,2714,502,1389,490,5.7385,240400,<1H OCEAN,"5151 Amelia Dr, San Jose, CA 95118, USA"
-118.35,34.07,48,890,255,434,232,3.6111,450000,<1H OCEAN,"5951 W 3rd St, Los Angeles, CA 90036, USA"
-118.11,33.82,37,1756,345,836,335,4.375,218200,<1H OCEAN,"3440 Canehill Ave, Long Beach, CA 90808, USA"
-122.03,36.97,51,924,232,488,228,2.1964,234400,NEAR OCEAN,"502 Maple St, Santa Cruz, CA 95060, USA"
-117.64,34.11,16,2129,420,932,379,2.5868,146900,INLAND,"822 Guadalupe Dr, Upland, CA 91786, USA"
-118.14,33.97,36,1407,385,1763,350,2.6364,150000,<1H OCEAN,"6628 Priam Dr, Bell Gardens, CA 90201, USA"
-121.42,36.57,13,2685,621,2474,573,2.8775,134100,<1H OCEAN,"HH9J+X2 Gonzales, CA, USA"
-124.15,40.78,36,2112,374,829,368,3.3984,90000,NEAR OCEAN,"3125 R St, Eureka, CA 95503, USA"
-121.81,37.25,20,3398,771,1231,744,2.0288,350000,<1H OCEAN,"151 Venado Way, San Jose, CA 95123, USA"
-118.13,33.79,44,2153,375,947,364,5.0072,236200,NEAR OCEAN,"1858 Ashbrook Ave, Long Beach, CA 90815, USA"
-118.2,33.94,43,1934,511,1895,493,2.5029,159700,<1H OCEAN,"10240 San Vincente Ave, South Gate, CA 90280, USA"
-118.14,33.91,37,932,171,578,175,4.375,177600,<1H OCEAN,"12950 Imperial Hwy., Downey, CA 90242, USA"
-120.66,35.29,39,2163,652,1153,599,2.084,233300,NEAR OCEAN,"596 California Blvd, San Luis Obispo, CA 93405, USA"
-123.21,39.15,52,1370,258,617,228,2.55,112900,<1H OCEAN,"101 N Oak St, Ukiah, CA 95482, USA"
-121.91,36.42,14,1078,261,382,171,3.7083,210000,NEAR OCEAN,"C3CR+22 Notleys Landing, CA, USA"
-122.31,37.57,42,3157,676,1603,629,3.7422,292600,NEAR OCEAN,"625 Patricia Ave, San Mateo, CA 94401, USA"
-118.14,34.06,39,2390,444,1246,422,3.7857,245700,<1H OCEAN,"1118 W Mabel Ave, Monterey Park, CA 91754, USA"
-116.45,33.8,9,5534,1206,2283,1008,3.6161,99100,INLAND,"69467 Bion Way, Cathedral City, CA 92234, USA"
-121.76,37.67,6,3023,518,1225,468,6.3705,350000,INLAND,"2750 Robertson Park Rd, Livermore, CA 94550, USA"
-122.49,37.68,35,2405,461,1583,471,5.0659,238000,NEAR OCEAN,"593 Skyline Dr, Daly City, CA 94015, USA"
-119.48,35.17,36,116,20,39,18,3.125,37500,INLAND,"5GC9+2X Taft, CA, USA"
-118.27,34.11,41,4138,1130,1859,1030,2.978,306800,<1H OCEAN,"2948 Hyperion Ave, Los Angeles, CA 90027, USA"
-122.42,37.8,52,4079,1112,1466,1024,4.5913,500001,NEAR BAY,"1249 Filbert St, San Francisco, CA 94109, USA"
-118.23,34.1,46,2483,587,2121,553,2.2788,152900,<1H OCEAN,"1612 Kemper St, Los Angeles, CA 90065, USA"
-122.39,37.6,36,1770,499,1225,459,2.56,273100,NEAR OCEAN,"196 El Camino Real, Millbrae, CA 94030, USA"
-121.23,37.96,37,2351,564,1591,549,1.6563,57200,INLAND,"606 Dawes Ave, Stockton, CA 95215, USA"
-121.26,37.99,27,429,102,179,90,2.3333,87500,INLAND,"3235 Newton Rd, Stockton, CA 95205, USA"
-121.49,38.56,52,1777,368,624,350,3.6729,137800,INLAND,"2550 18th St, Sacramento, CA 95818, USA"
-122.09,37.38,34,1959,342,849,357,6.2884,414700,NEAR BAY,"1235 Brookdale Ave, Mountain View, CA 94040, USA"
-119.18,34.16,27,1832,415,1480,414,3.9643,186000,NEAR OCEAN,"4411 S B St, Oxnard, CA 93033, USA"
-121.92,38.34,2,7747,1133,3481,1083,6.1112,181000,INLAND,"691 Broadfork Cir, Vacaville, CA 95687, USA"
-119.06,34.38,33,1465,262,731,266,3.9464,230300,<1H OCEAN,"9WHQ+XX Santa Paula, CA, USA"
-118.21,33.81,43,905,199,764,204,3.3214,162200,NEAR OCEAN,"Easy & 29th NE, Long Beach, CA 90810, USA"
-120.76,38.65,17,2319,430,1126,372,3.5511,155900,INLAND,"M62R+22 Diamond Springs, CA, USA"
-117.96,34.06,34,2226,381,1464,365,4.4102,183200,<1H OCEAN,"1935 W Doublegrove St, West Covina, CA 91790, USA"
-121.14,38.92,16,2069,312,889,299,4.6771,212000,INLAND,"2860 Fawn Hill Ln, Auburn, CA 95603, USA"
-118.2,33.96,37,2127,533,2021,480,2.9773,164600,<1H OCEAN,"8176 San Juan Ave, South Gate, CA 90280, USA"
-121.58,37.01,44,3192,565,1439,568,4.3693,234000,INLAND,"7771 Princevalle St, Gilroy, CA 95020, USA"
-122.13,38.01,51,1262,309,608,298,2.1974,139300,NEAR BAY,"1936 Estudillo St, Martinez, CA 94553, USA"
-118.23,33.76,21,49,14,29,16,5,87500,NEAR OCEAN,"301 Hanjin Rd, Long Beach, CA 90802, USA"
-118.26,34.14,23,1336,396,1255,359,2.5388,205000,<1H OCEAN,"349 W Lomita Ave, Glendale, CA 91204, USA"
-122.36,40.55,21,2500,466,1428,502,2.6513,113300,INLAND,"622 Gary Ct, Redding, CA 96002, USA"
-121.76,36.75,21,1141,257,671,195,3.8424,155700,<1H OCEAN,"Q62R+22 Castroville, CA, USA"
-115.57,32.83,31,1494,289,959,284,3.5282,67500,INLAND,"2433 Marshall Ave, Imperial, CA 92251, USA"
-121.94,38.41,15,1263,211,665,208,4.5,260900,INLAND,"C356+X2 Vacaville, CA, USA"
-118.25,33.93,36,2452,734,2664,667,0.9298,100000,<1H OCEAN,"1426 E 115th St, Los Angeles, CA 90059, USA"
-117.07,33.07,8,2756,343,1045,340,8.5957,444100,<1H OCEAN,"3480 Del Lago Blvd, Escondido, CA 92029, USA"
-118.1,34.06,36,1463,369,1492,366,3.25,179200,<1H OCEAN,"2615 Del Mar Ave, Rosemead, CA 91770, USA"
-117.2,34.04,24,1587,222,676,234,6.0715,173400,INLAND,"1440 Fulbright Ave, Redlands, CA 92373, USA"
-122.2,37.79,44,1621,452,1354,491,2.619,134700,NEAR BAY,"3437 38th Ave, Oakland, CA 94619, USA"
-117.07,33.04,4,2271,578,926,391,3.6437,210100,<1H OCEAN,"12032 Verano Ct, San Diego, CA 92128, USA"
-117.04,32.54,7,938,297,1187,282,1.2667,67500,NEAR OCEAN,"Segundo Callejón Ftpm California 8036, Zona Nte., 22000 Tijuana, B.C., Mexico"
-116.92,32.8,33,1518,268,857,272,3.5586,160400,<1H OCEAN,"1675 E Madison Ave, El Cajon, CA 92019, USA"
-122.25,39.79,16,2127,412,1104,369,3.0469,72200,INLAND,"QQQ2+X2 Orland, CA, USA"
